172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-includes/css/buttons.min.css?ver=5.3.2 HTTP/1.1" 200 1458 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.1" 200 232 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-admin/css/l10n.min.css?ver=5.3.2 HTTP/1.1" 200 686 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-admin/css/forms.min.css?ver=5.3.2 HTTP/1.1" 200 5966 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-admin/css/install.min.css?ver=5.3.2 HTTP/1.1" 200 1839 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-admin/js/password-strength-meter.min.js?ver=5.3.2 HTTP/1.1" 200 452 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-admin/js/user-profile.min.js?ver=5.3.2 HTTP/1.1" 200 2075 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-includes/js/wp-util.min.js?ver=5.3.2 HTTP/1.1" 200 565 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-includes/js/underscore.min.js?ver=1.8.3 HTTP/1.1" 200 5676 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:04:37 +0000] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.1" 200 400063 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:05:04 +0000] "POST /wp-admin/install.php?step=2 HTTP/1.1" 200 1155 "https://whateveryoursiteis.com/wp-admin/install.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
172.29.0.1 - - [18/Feb/2020:00:05:04 +0000] "GET /wp-includes/css/dashicons.min.css?ver=5.3.2 HTTP/1.1" 200 28481 "https://whateveryoursiteis.com/wp-admin/install.php?step=2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36" "-"
